hs6,d_aap_original,d_aap_expanded
030616,0,1
030617,0,1
060290,0,1
060311,0,1
060390,0,1
070190,0,1
071140,0,1
071190,0,1
071220,1,1
071320,0,1
071334,0,1
071335,0,1
071339,0,1
080132,0,1
080251,0,1
080252,0,1
080310,0,1
080390,0,1
090210,0,1
090230,0,1
090240,1,1
090411,0,1
090620,0,1
090710,0,1
090720,0,1
090811,0,1
090812,0,1
090831,0,1
090832,0,1
090921,0,1
090922,0,1
090931,0,1
090932,0,1
090961,0,1
090962,0,1
091011,0,1
091012,0,1
091030,0,1
091099,0,1
110812,0,1
120740,1,1
120750,0,1
121190,0,1
130120,0,1
130190,1,1
130219,1,1
130232,1,1
130239,0,1
150600,0,1
151530,0,1
151590,0,1
151610,0,1
151620,0,1
170211,0,1
190590,0,1
200110,0,1
200190,0,1
200599,0,1
200799,0,1
200981,0,1
200989,0,1
210120,0,1
210390,0,1
210690,0,1
230910,0,1
230990,0,1
240110,0,1
240120,0,1
240130,0,1
240290,0,1
250510,0,1
250590,0,1
250810,0,1
251320,1,1
252510,0,1
252520,0,1
261000,0,1
261510,0,1
262190,0,1
271112,0,1
271113,0,1
271210,0,1
271290,0,1
280700,0,1
280920,0,1
281119,0,1
281122,0,1
281700,0,1
281820,0,1
281830,0,1
282110,0,1
282619,0,1
282690,0,1
282720,0,1
282731,0,1
282739,0,1
282810,1,1
283110,0,1
283324,0,1
283329,1,1
283525,0,1
283529,0,1
284020,0,1
284329,0,1
285210,0,1
285290,0,1
290371,0,1
290381,0,1
290512,0,1
290517,1,1
290519,0,1
290522,0,1
290531,0,1
290545,1,1
290559,1,1
290611,0,1
290613,0,1
290621,0,1
290719,0,1
290941,0,1
290944,1,1
290949,0,1
290950,1,1
291219,0,1
291423,0,1
291429,0,1
291439,0,1
291440,0,1
291469,0,1
291539,0,1
291560,0,1
291570,0,1
291590,0,1
291616,0,1
291619,0,1
291620,0,1
291639,1,1
291719,1,1
291734,0,1
291739,0,1
291811,0,1
291814,1,1
291815,0,1
291816,0,1
291822,0,1
291829,0,1
291830,0,1
291891,0,1
291899,0,1
291910,0,1
291990,0,1
292090,0,1
292111,0,1
292119,0,1
292130,0,1
292142,0,1
292145,0,1
292149,1,1
292151,0,1
292159,0,1
292219,1,1
292229,0,1
292239,0,1
292241,0,1
292249,1,1
292250,1,1
292390,0,1
292419,0,1
292429,1,1
292519,0,1
292521,0,1
292529,0,1
292690,1,1
293020,0,1
293090,1,1
293120,0,1
293190,0,1
293219,1,1
293220,0,1
293299,1,1
293311,0,1
293319,0,1
293321,1,1
293329,1,1
293331,0,1
293333,0,1
293339,1,1
293341,0,1
293349,1,1
293353,0,1
293359,1,1
293369,1,1
293372,0,1
293379,0,1
293391,0,1
293399,1,1
293410,1,1
293420,0,1
293430,0,1
293499,1,1
293500,1,0
293621,0,1
293622,0,1
293623,0,1
293627,0,1
293629,1,1
293712,0,1
293719,0,1
293721,0,1
293722,1,1
293723,0,1
293729,0,1
293790,0,1
293890,1,1
293911,1,1
293919,0,1
293930,0,1
293941,0,1
293942,1,1
293944,0,1
293949,0,1
293959,0,1
293999,1,0
294000,0,1
294110,1,1
294120,0,1
294130,0,1
294140,0,1
294150,1,1
294190,1,1
294200,0,1
300190,0,1
300220,0,1
300290,0,1
300320,1,1
300339,0,1
300390,1,1
300410,1,1
300420,1,1
300431,0,1
300432,1,1
300439,1,1
300440,1,0
300450,0,1
300490,1,1
300590,0,1
300610,0,1
300640,0,1
300660,0,1
310420,0,1
310540,0,1
320210,0,1
320412,1,1
320413,0,1
320414,0,1
320416,1,1
320417,0,1
320419,0,1
320420,0,1
320490,0,1
320649,0,1
320650,0,1
320740,0,1
321290,0,1
321511,1,1
321519,1,1
330124,0,1
330129,0,1
330130,0,1
330190,0,1
330210,1,1
330290,0,1
330300,0,1
330410,0,1
330420,0,1
330491,0,1
330499,0,1
330510,0,1
330590,0,1
330610,0,1
330620,0,1
330720,0,1
330741,1,1
330749,1,1
330790,0,1
340111,0,1
340211,0,1
340212,0,1
340213,0,1
340219,0,1
340220,0,1
340319,0,1
340490,0,1
340600,0,1
340700,0,1
350610,0,1
350691,0,1
350790,0,1
360500,0,1
370790,0,1
380210,0,1
380891,0,1
380892,0,1
380893,0,1
380894,0,1
381010,0,1
381119,0,1
381220,0,1
381400,0,1
381600,1,1
382000,0,1
382100,0,1
382200,0,1
382319,0,1
382370,0,1
390120,0,1
390210,0,1
390230,0,1
390290,0,1
390311,0,1
390319,0,1
390422,0,1
390599,0,1
390690,0,1
390730,0,1
390890,0,1
391000,0,1
391231,0,1
391290,0,1
391390,0,1
391400,0,1
391620,0,1
391690,0,1
391729,0,1
391732,0,1
391739,0,1
391810,0,1
391890,0,1
391910,0,1
391990,0,1
392010,0,1
392020,0,1
392049,1,1
392062,1,1
392063,0,1
392069,0,1
392099,0,1
392119,0,1
392190,0,1
392310,0,1
392321,0,1
392329,0,1
392330,0,1
392350,0,1
392410,0,1
392490,0,1
392590,0,1
392610,0,1
392620,0,1
392630,0,1
392640,0,1
392690,0,1
400259,0,1
400811,0,1
400819,0,1
400821,0,1
400829,0,1
400911,0,1
400921,1,1
400922,0,1
400931,0,1
400932,0,1
400941,0,1
400942,0,1
401012,1,1
401019,0,1
401031,0,1
401032,1,1
401033,0,1
401034,0,1
401039,1,1
401110,0,1
401120,1,1
401150,0,1
401199,1,0
401320,1,1
401390,0,1
401410,1,1
401490,1,1
401519,1,1
401590,0,1
401691,0,1
401693,0,1
401694,0,1
401699,1,1
401700,0,1
410411,0,1
410419,1,1
410441,0,1
410449,0,1
410622,1,1
410711,0,1
410719,0,1
410791,0,1
410792,0,1
410799,1,1
411200,0,1
411310,0,1
411410,1,1
420100,0,1
420211,0,1
420212,0,1
