schedule_country,regime,serial_no,issue,block
IND,original,16,hs6_030212_not_in_HS2012(HS2002),"0302.1200 --Pacific Salmon ( Oncorhynchus nerka, Oncorhynchus 20% gorbuscha, Oncorhyncus keta,"
IND,original,17,hs6_030269_not_in_HS2012(HS2002),0302.6990 --- Other 20%
IND,original,20,hs6_030321_not_in_HS2012(HS2002),"0303.2100 --Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus 20% clarki, Oncorhynchus aguaboni"
IND,original,21,hs6_030322_not_in_HS2012(HS2002),0303.2200 --Atlantic salmon (Salmo salar) and Danube salmon (Hucho 20% hucho)
IND,original,22,hs6_030371_not_in_HS2012(HS2002),"0303.7100 --Sardines (Sardina pilchardus, Sardinops spp.), sardinella 20% (Sardinella spp.), brislin"
IND,original,23,hs6_030374_not_in_HS2012(HS2002),"0303.7400 --Mackerel (Scomber scombrus, Scomber australasicus, Scomber 20% japonicus)"
IND,original,24,hs6_030377_not_in_HS2012(HS2002),"0303.7700 Sea bass (Dicentrarchus labrax, Dicentrarchus punctatus) 20%"
IND,original,25,hs6_030378_not_in_HS2012(HS2002),"0303.7800 --Hake (Merluccius spp., Urophycis spp.) : 20%"
IND,original,26,hs6_030379_not_in_HS2012(HS2002),0303.7910 --- Hilsa 20%
IND,original,27,hs6_030379_not_in_HS2012(HS2002),0303.7920 --- Dara 20%
IND,original,28,hs6_030379_not_in_HS2012(HS2002),0303.7930 ---Ribbon fish 20%
IND,original,29,hs6_030379_not_in_HS2012(HS2002),0303.7940 --- Seer 20%
IND,original,30,hs6_030379_not_in_HS2012(HS2002),0303.7950 --- Pomfret (white or silver or black) 20%
IND,original,31,hs6_030379_not_in_HS2012(HS2002),0303.7960 --- Ghole 20%
IND,original,32,hs6_030379_not_in_HS2012(HS2002),0303.7970 --- Threadfin 20%
IND,original,33,hs6_030379_not_in_HS2012(HS2002),"0303.7980 ---Croacker, Grouper, Hounder 20% 11"
IND,original,34,hs6_030379_not_in_HS2012(HS2002),0303.7991 ---- Edible fishmaws of wild life 20%
IND,original,35,hs6_030379_not_in_HS2012(HS2002),0303.7992 ---- Edible shark fins of wild life 20%
IND,original,36,hs6_030379_not_in_HS2012(HS2002),0303.7999 ---- Other 20%
IND,original,37,hs6_030380_not_in_HS2012(HS2002),0303.8010 --- Egg or egg yolk of fish including shrimps 20%
IND,original,38,hs6_030380_not_in_HS2012(HS2002),0303.8090 --- Other 20%
IND,original,39,hs6_030410_not_in_HS2012(HS2002),0304.1000 -Fresh or chilled 20%
IND,original,40,hs6_030420_not_in_HS2012(HS2002),0304.2010 Hilsa 20%
IND,original,41,hs6_030420_not_in_HS2012(HS2002),0304.2020 Shark 20%
IND,original,42,hs6_030420_not_in_HS2012(HS2002),0304.2030 Seer 20%
IND,original,43,hs6_030420_not_in_HS2012(HS2002),0304.2040 Tuna 20%
IND,original,44,hs6_030420_not_in_HS2012(HS2002),0304.2050 Cuttlefish 20%
IND,original,45,hs6_030420_not_in_HS2012(HS2002),0304.2090 Other 20%
IND,original,46,hs6_030490_not_in_HS2012(HS2002),0304.9000 -Other 20%
IND,original,48,hs6_030530_not_in_HS2012(HS2002),"0305.3000 -Fish fillets, dried, salted or in brine, but not smoked 20%"
IND,original,53,hs6_030613_not_in_HS2012(HS2002),0306.1311 ---- AFD Shrimp 20%
IND,original,54,hs6_030613_not_in_HS2012(HS2002),0306.1319 ---- Other 20%
IND,original,55,hs6_030613_not_in_HS2012(HS2002),0306.1320 --- Prawns 20%
IND,original,81,hs6_160520_not_in_HS2012(HS2002),1605.2000 - Shrimps and prawns 20%
IND,original,82,hs6_160590_not_in_HS2012(HS2002),1605.9010 --- Clams 20%
IND,original,83,hs6_160590_not_in_HS2012(HS2002),"1605.9020 --- Squid, octopus and cuttlefish 20%"
IND,original,84,hs6_160590_not_in_HS2012(HS2002),1605.9030 --- Oysters 20%
IND,original,85,hs6_160590_not_in_HS2012(HS2002),1605.9090 --- Other 20%
IND,original,98,hs6_290614_not_in_HS2012(HS2002),2906.1400 --Terpineols 20%
IND,original,129,hs6_441031_not_in_HS2012(HS2002),4410.3110 ---- Plain particle boards 20%
IND,original,130,hs6_441031_not_in_HS2012(HS2002),4410.3120 ---- Insulation board and hardboard 20%
IND,original,131,hs6_441031_not_in_HS2012(HS2002),"4410.3130 ---- Veneered particle board, not having decorative veneers on 20% any face"
IND,original,132,hs6_441031_not_in_HS2012(HS2002),4410.3190 Other 20%
IND,original,133,hs6_441032_not_in_HS2012(HS2002),4410.3210 ---- Plain particle boards 20%
IND,original,134,hs6_441032_not_in_HS2012(HS2002),4410.3220 ---- Insulation board and hardboard 20%
IND,original,135,hs6_441032_not_in_HS2012(HS2002),"4410.3230 ---- Veneered particle board, not having decorative veneers on 20% any face"
IND,original,136,hs6_441032_not_in_HS2012(HS2002),4410.3290 Other 20%
IND,original,137,hs6_441111_not_in_HS2012(HS2002),4411.1110 ---- Hardboard 20%
IND,original,138,hs6_441111_not_in_HS2012(HS2002),4411.1190 Other 20%
IND,original,139,hs6_441119_not_in_HS2012(HS2002),4411.1910 ---- Hardboard 20%
IND,original,140,hs6_441119_not_in_HS2012(HS2002),4411.1990 Other 20%
IND,original,141,hs6_441121_not_in_HS2012(HS2002),4411.2110 ---- Insulation board 20%
IND,original,142,hs6_441121_not_in_HS2012(HS2002),4411.2190 Other 20%
IND,original,143,hs6_441129_not_in_HS2012(HS2002),4411.2910 ---- Insulation board 20%
IND,original,144,hs6_441129_not_in_HS2012(HS2002),4411.2990 Other 20%
IND,original,145,hs6_441131_not_in_HS2012(HS2002),4411.3110 ---- Insulation board 20%
IND,original,146,hs6_441131_not_in_HS2012(HS2002),4411.3190 Other 20%
IND,original,147,hs6_441139_not_in_HS2012(HS2002),4411.3910 ---- Insulation board 20%
IND,original,148,hs6_441139_not_in_HS2012(HS2002),4411.3990 Other 20%
IND,original,149,hs6_441219_not_in_HS2012(HS2002),4412.1910 ---- Decorative plywood 20%
IND,original,150,hs6_441219_not_in_HS2012(HS2002),4412.1930 ---- Marine and aircraft plywood 20% 14
IND,original,151,hs6_441219_not_in_HS2012(HS2002),4412.1940 ---- Cuttings and trimmings of plywood of width not exceeding 5 20% cm
IND,original,152,hs6_441219_not_in_HS2012(HS2002),4412.1990 Other 20%
IND,expanded_2017,29,hs6_030299_not_in_HS2012(HS2017),"030299 All Goods of tariff item 03021300 50% All Goods of tariff items 03021100,"
IND,expanded_2017,30,hs6_030299_not_in_HS2012(HS2017),"030299 03024700, 03028300, 03028910, 20% 03028920, 03028930, 03028990 Sockeye salmon (red salmon)"
IND,expanded_2017,51,hs6_030359_not_in_HS2012(HS2017),"03035900 Other 20% Carp (Cyprinus carpio, Carassius Carassius, Ctenopharyngodon idellus, Hypophthalm"
IND,expanded_2017,53,hs6_030399_not_in_HS2012(HS2017),03039910 tails and maws 20% Other edible fish offal
IND,expanded_2017,54,hs6_030399_not_in_HS2012(HS2017),03039990 20% Egg or egg yolk of fish
IND,expanded_2017,55,hs6_030391_not_in_HS2012(HS2017),03039110 20% Other
IND,expanded_2017,56,hs6_030391_not_in_HS2012(HS2017),03039190 20%
IND,expanded_2017,57,hs6_030391_not_in_HS2012(HS2017),"03039190 Other 50% Fish fins, heads, tails, maws and other edible fish offal of tariff items 0303110"
