hs6,m_ind_world_p0,m_ind_world_p1,x_chl_ind_p0,x_chl_ind_p1,m_ind_total_p0,m_ind_total_p1,product_share_india_p0,product_share_india_p1,chile_share_product_p0,chile_share_product_p1,delta_product_share_india,delta_chile_share_product,avg_exports_p0,avg_exports_p1,avg_india_imports_p0,avg_india_imports_p1,growth_india_imports_pct,growth_chile_exports_pct,new_import_demand,sin_demanda,chile_entry,no_chile_presence,demand_dynamic,chile_competitive,quadrant_code,quadrant_name,d_aap_original,d_aap_expanded,d_aap_covered_p0,d_aap_covered_p1,d_aap_covered_only_p1,d_aap_covered_only_p0,d_added_2017,d_maintained_2017,d_removed_2017,concession_pct_min,concession_pct_max,d_partial_coverage,d_copper_260300,hs2,hs4,description_hs12
270900,213267656252.0,456889233785.0,0.0,0.0,1188760914470.0,2078907340881.0,0.1794033212701006,0.2197737363279401,0.0,0.0,0.0403704150578395,0.0,0.0,0.0,71089218750.66667,152296411261.66666,114.23278232360435,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,0,0,0,0,,,0,0,27,2709,"Oils: petroleum oils and oils obtained from bituminous minerals, crude"
710812,92190317491.0,133639978920.0,0.0,7233533.0,1188760914470.0,2078907340881.0,0.0775516055153128,0.0642837592094729,0.0,5.412701392545236e-05,-0.0132678463058398,5.412701392545236e-05,0.0,2411177.6666666665,30730105830.33333,44546659640.0,44.96097047615275,,0,0,1,0,0,1,3,estrella_menguante,0,1,0,1,1,0,1,0,0,5.0,95.0,1,0,71,7108,"Metals: gold, non-monetary, unwrought (but not powder)"
270119,40827921786.0,107839178756.0,80697721.0,0.0,1188760914470.0,2078907340881.0,0.0343449395829125,0.0518730087846531,0.001976532663675,0.0,0.0175280692017406,-0.001976532663675,26899240.33333333,0.0,13609307262.0,35946392918.666664,164.13095263883437,-100.0,0,0,0,0,1,0,2,oportunidad_perdida,0,0,0,0,0,0,0,0,0,,,0,0,27,2701,"Coal: (other than anthracite and bituminous), whether or not pulverised but not agglomerated"
271111,19848469798.0,45314920555.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0166967718709436,0.0217974700766588,0.0,0.0,0.0051006982057151,0.0,0.0,0.0,6616156599.333333,15104973518.333334,128.3043530114653,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,0,0,0,0,,,0,0,27,2711,"Petroleum gases and other gaseous hydrocarbons: liquefied, natural gas"
710231,47870859548.0,43701472683.0,50919.0,0.0,1188760914470.0,2078907340881.0,0.0402695436612187,0.0210213662839249,1.0636742369111557e-06,0.0,-0.0192481773772937,-1.0636742369111557e-06,16973.0,0.0,15956953182.666666,14567157561.0,-8.709655319264453,-100.0,0,0,0,0,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,71,7102,"Diamonds: non-industrial, unworked or simply sawn, cleaved or bruted, but not mounted or set"
271000,11914375658.0,35124126321.0,11227.0,39116.0,1188760914470.0,2078907340881.0,0.0100225163133933,0.0168954746708985,9.423070349860544e-07,1.113650476100621e-06,0.0068729583575051,1.713434411145666e-07,3742.3333333333335,13038.666666666666,3971458552.6666665,11708042107.0,194.8045900954586,248.41008283602036,0,0,0,0,1,1,1,estrella_naciente,0,0,0,0,0,0,0,0,0,,,0,0,27,2710,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils"
854231,2322801356.0,34642840161.0,252813.0,136884.0,1188760914470.0,2078907340881.0,0.0019539684790491,0.0166639654782877,0.0001088396988175,3.951292658564999e-06,0.0147099969992386,-0.0001048884061589,84271.0,45628.0,774267118.6666666,11547613387.0,1391.4250016048295,-45.855632423965545,0,0,0,0,1,0,2,oportunidad_perdida,0,0,0,0,0,0,0,0,0,,,0,0,85,8542,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits"
851770,22183923221.999992,24850772182.00001,3292776.0,97182.0,1188760914470.0,2078907340881.0,0.0186613834219898,0.0119537661411444,0.0001484307336916,3.910622949189126e-06,-0.0067076172808453,-0.0001445201107424,1097592.0,32394.0,7394641073.999997,8283590727.333339,12.021538901447729,-97.04863009205609,0,0,0,0,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,85,8517,"Telephone sets and other apparatus for the transmission or reception of voice, images or other data, via a wired or wireless network: parts"
880240,6393017612.0,22396327764.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0053778834197709,0.0107731245753881,0.0,0.0,0.0053952411556172,0.0,0.0,0.0,2131005870.6666667,7465442588.0,250.32482503975933,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,0,0,0,0,,,0,0,88,8802,"Aeroplanes and other aircraft: of an unladen weight exceeding 15,000kg"
151110,12663265660.0,21377423762.0,0.0,0.0,1188760914470.0,2078907340881.0,0.010652491603533,0.0102830094163507,0.0,0.0,-0.0003694821871823,0.0,0.0,0.0,4221088553.3333335,7125807920.666667,68.81446173498344,,0,0,0,1,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,15,1511,"Vegetable oils: palm oil and its fractions, crude, not chemically modified"
