hs6,m_ind_world_p0,m_ind_world_p1,x_chl_ind_p0,x_chl_ind_p1,m_ind_total_p0,m_ind_total_p1,product_share_india_p0,product_share_india_p1,chile_share_product_p0,chile_share_product_p1,delta_product_share_india,delta_chile_share_product,avg_exports_p0,avg_exports_p1,avg_india_imports_p0,avg_india_imports_p1,growth_india_imports_pct,growth_chile_exports_pct,new_import_demand,sin_demanda,chile_entry,no_chile_presence,demand_dynamic,chile_competitive,quadrant_code,quadrant_name,d_aap_original,d_aap_expanded,d_added_2017,d_maintained_2017,d_removed_2017,concession_pct_min,concession_pct_max,d_partial_coverage,d_copper_260300,hs2,hs4,description_hs12
270900,213267656252.0,456889233785.0,0.0,0.0,1188760914470.0,2078907340881.0,0.1794033212701006,0.21977373632794012,0.0,0.0,0.040370415057839504,0.0,0.0,0.0,71089218750.66667,152296411261.66666,114.23278232360437,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,27,2709,"Oils: petroleum oils and oils obtained from bituminous minerals, crude"
710812,92190317491.0,133639978920.0,0.0,7233533.0,1188760914470.0,2078907340881.0,0.07755160551531286,0.06428375920947299,0.0,5.412701392545236e-05,-0.013267846305839867,5.412701392545236e-05,0.0,2411177.6666666665,30730105830.333332,44546659640.0,44.96097047615275,,0,0,1,0,0,1,3,estrella_menguante,0,1,1,0,0,5.0,95.0,1,0,71,7108,"Metals: gold, non-monetary, unwrought (but not powder)"
270119,40827921786.0,107839178756.0,80697721.0,0.0,1188760914470.0,2078907340881.0,0.03434493958291253,0.05187300878465313,0.00197653266367507,0.0,0.017528069201740604,-0.00197653266367507,26899240.333333332,0.0,13609307262.0,35946392918.666664,164.13095263883437,-100.0,0,0,0,0,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,27,2701,"Coal: (other than anthracite and bituminous), whether or not pulverised but not agglomerated"
271111,19848469798.0,45314920555.0,0.0,0.0,1188760914470.0,2078907340881.0,0.016696771870943695,0.021797470076658842,0.0,0.0,0.005100698205715147,0.0,0.0,0.0,6616156599.333333,15104973518.333334,128.3043530114653,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,27,2711,"Petroleum gases and other gaseous hydrocarbons: liquefied, natural gas"
710231,47870859548.0,43701472683.0,50919.0,0.0,1188760914470.0,2078907340881.0,0.04026954366121876,0.021021366283924984,1.0636742369111555e-06,0.0,-0.019248177377293774,-1.0636742369111555e-06,16973.0,0.0,15956953182.666666,14567157561.0,-8.709655319264453,-100.0,0,0,0,0,0,0,4,retirada,0,0,0,0,0,,,0,0,71,7102,"Diamonds: non-industrial, unworked or simply sawn, cleaved or bruted, but not mounted or set"
271000,11914375658.0,35124126321.0,11227.0,39116.0,1188760914470.0,2078907340881.0,0.010022516313393374,0.016895474670898553,9.423070349860543e-07,1.113650476100621e-06,0.006872958357505178,1.713434411145666e-07,3742.3333333333335,13038.666666666666,3971458552.6666665,11708042107.0,194.8045900954586,248.41008283602034,0,0,0,0,1,1,1,estrella_naciente,0,0,0,0,0,,,0,0,27,2710,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils"
854231,2322801356.0,34642840161.0,252813.0,136884.0,1188760914470.0,2078907340881.0,0.001953968479049131,0.016663965478287766,0.00010883969881753419,3.951292658564999e-06,0.014709996999238636,-0.00010488840615896919,84271.0,45628.0,774267118.6666666,11547613387.0,1391.4250016048295,-45.855632423965545,0,0,0,0,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,85,8542,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits"
851770,22183923221.999992,24850772182.000015,3292776.0,97182.0,1188760914470.0,2078907340881.0,0.018661383421989884,0.011953766141144486,0.00014843073369161884,3.910622949189126e-06,-0.006707617280845398,-0.00014452011074242972,1097592.0,32394.0,7394641073.999997,8283590727.333339,12.021538901447727,-97.04863009205607,0,0,0,0,0,0,4,retirada,0,0,0,0,0,,,0,0,85,8517,"Telephone sets and other apparatus for the transmission or reception of voice, images or other data, via a wired or wireless network: parts"
880240,6393017612.0,22396327764.0,0.0,0.0,1188760914470.0,2078907340881.0,0.005377883419770979,0.010773124575388184,0.0,0.0,0.005395241155617204,0.0,0.0,0.0,2131005870.6666667,7465442588.0,250.32482503975933,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,88,8802,"Aeroplanes and other aircraft: of an unladen weight exceeding 15,000kg"
151110,12663265660.0,21377423762.0,0.0,0.0,1188760914470.0,2078907340881.0,0.010652491603533097,0.01028300941635074,0.0,0.0,-0.00036948218718235726,0.0,0.0,0.0,4221088553.3333335,7125807920.666667,68.81446173498344,,0,0,0,1,0,0,4,retirada,0,0,0,0,0,,,0,0,15,1511,"Vegetable oils: palm oil and its fractions, crude, not chemically modified"
271113,7528293477.000001,21125487577.0,0.0,0.0,1188760914470.0,2078907340881.0,0.006332891151923878,0.010161822588998812,0.0,0.0,0.0038289314370749342,0.0,0.0,0.0,2509431159.0000005,7041829192.333333,180.6145594820572,,0,0,0,1,1,0,2,oportunidad_perdida,0,1,1,0,0,80.0,80.0,0,0,27,2711,"Petroleum gases and other gaseous hydrocarbons: liquefied, butanes"
271112,5201370593.0,19614199558.0,0.0,0.0,1188760914470.0,2078907340881.0,0.004375455593876917,0.009434859924871827,0.0,0.0,0.00505940433099491,0.0,0.0,0.0,1733790197.6666667,6538066519.333333,277.0967518522286,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,27,2711,"Petroleum gases and other gaseous hydrocarbons: liquefied, propane"
847130,7644625297.000001,18000222831.0,72435.0,127698.0,1188760914470.0,2078907340881.0,0.00643075088013665,0.008658501741290625,9.475284554290168e-06,7.094245510121041e-06,0.002227750861153975,-2.3810390441691274e-06,24145.0,42566.0,2548208432.3333335,6000074277.0,135.4624606396846,76.29322841167942,0,0,0,0,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,84,8471,"Automatic data processing machines: portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display"
150710,7968802208.0,14237379203.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0067034524024141805,0.006848491475799243,0.0,0.0,0.00014503907338506237,0.0,0.0,0.0,2656267402.6666665,4745793067.666667,78.6639802492134,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,15,1507,"Vegetable oils: soya-bean oil and its fractions, crude, whether or not degummed, not chemically modified"
310530,6232319484.0,12458538175.0,0.0,0.0,1188760914470.0,2078907340881.0,0.005242702218871851,0.00599282994966015,0.0,0.0,0.0007501277307882985,0.0,0.0,0.0,2077439828.0,4152846058.3333335,99.90211039380021,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,31,3105,"Fertilizers, mineral or chemical: diammonium hydrogenorthophosphate (diammonium phosphate)"
310210,5369887951.0,12378710973.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0045172144252354765,0.005954431315709408,0.0,0.0,0.0014372168904739314,0.0,0.0,0.0,1789962650.3333333,4126236991.0,130.5208430037128,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,31,3102,"Fertilizers, mineral or chemical: nitrogenous, urea, whether or not in aqueous solution"
710239,11613100509.0,12318846870.000002,0.0,0.0,1188760914470.0,2078907340881.0,0.009769080029164327,0.005925635369962914,0.0,0.0,-0.0038434446592014128,0.0,0.0,0.0,3871033503.0,4106282290.0000005,6.077157090417473,,0,0,0,1,0,0,4,retirada,0,1,1,0,0,5.0,95.0,1,0,71,7102,"Diamonds: non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set"
851762,8468665369.0,12030407058.0,41919.0,657914.0,1188760914470.0,2078907340881.0,0.007123943314350716,0.00578688949787524,4.949894484371378e-06,5.46875925999943e-05,-0.0013370538164754761,4.9737698115622916e-05,13973.0,219304.66666666666,2822888456.3333335,4010135686.0,42.057886736650914,1469.4887759727094,0,0,0,0,0,1,3,estrella_menguante,0,0,0,0,0,,,0,0,85,8517,"Communication apparatus (excluding telephone sets or base stations): machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus"
851712,14293502896.0,11875529775.0,743781.0,309.0,1188760914470.0,2078907340881.0,0.012023866802831963,0.00571239012988784,5.2036299667882334e-05,2.6019891815731648e-08,-0.006311476672944123,-5.2010279776066604e-05,247927.0,103.0,4764500965.333333,3958509925.0,-16.916588876731286,-99.95845551311476,0,0,0,0,0,0,4,retirada,0,0,0,0,0,,,0,0,85,8517,Telephones for cellular networks or for other wireless networks
854140,9687914410.0,11726881882.000002,186532.0,106456.0,1188760914470.0,2078907340881.0,0.008149590293620381,0.005640887235036834,1.9254092481190697e-05,9.077945959650451e-06,-0.002508703058583547,-1.0176146521540246e-05,62177.333333333336,35485.333333333336,3229304803.3333335,3908960627.333334,21.04650583922738,-42.928827225355434,0,0,0,0,0,0,4,retirada,0,0,0,0,0,,,0,0,85,8541,"Electrical apparatus: photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light emitting diodes"
270112,12757382069.0,11578037497.0,10700227.0,0.0,1188760914470.0,2078907340881.0,0.01073166346042575,0.00556928982322678,0.000838747867087965,0.0,-0.00516237363719897,-0.000838747867087965,3566742.3333333335,0.0,4252460689.6666665,3859345832.3333335,-9.244408967461803,-100.0,0,0,0,0,0,0,4,retirada,0,0,0,0,0,,,0,0,27,2701,"Coal: bituminous, whether or not pulverised, but not agglomerated"
760200,4482838465.0,11026000509.000002,19069791.0,34342776.0,1188760914470.0,2078907340881.0,0.003771017713009718,0.005303747931510694,0.004253954531016098,0.0031147083633786903,0.0015327302185009764,-0.0011392461676374079,6356597.0,11447592.0,1494279488.3333333,3675333503.0000005,145.9602458372321,80.08994435230046,0,0,0,0,1,0,2,oportunidad_perdida,0,1,1,0,0,5.0,95.0,1,0,76,7602,Aluminium: waste and scrap
854232,388706197.0,10334942730.0,0.0,0.0,1188760914470.0,2078907340881.0,0.00032698433492263807,0.004971333992028839,0.0,0.0,0.004644349657106201,0.0,0.0,0.0,129568732.33333333,3444980910.0,2558.805753487897,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,85,8542,Electronic integrated circuits: memories
720449,4237068566.999999,10246515816.999998,26615009.0,75704051.0,1188760914470.0,2078907340881.0,0.0035642731144883443,0.004928798708583966,0.006281467618269961,0.007388272496920307,0.0013645255940956213,0.0011068048786503464,8871669.666666666,25234683.666666668,1412356188.9999998,3415505272.3333325,141.83030448938214,184.44120007624267,0,0,0,0,1,1,1,estrella_naciente,0,1,1,0,0,5.0,95.0,1,0,72,7204,Ferrous waste and scrap: n.e.c. in heading no. 7204
854239,2247867589.0,10181964206.999998,0.0,23081.0,1188760914470.0,2078907340881.0,0.001890933291663778,0.004897747969221698,0.0,2.266851417934866e-06,0.0030068146775579195,2.266851417934866e-06,0.0,7693.666666666667,749289196.3333334,3393988068.9999995,352.96103101560396,,0,0,1,0,1,1,1,estrella_naciente,0,0,0,0,0,,,0,0,85,8542,Electronic integrated circuits: n.e.c. in heading no. 8542
841112,4193677160.0,9567233656.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0035277717402659716,0.004602049099478187,0.0,0.0,0.0010742773592122157,0.0,0.0,0.0,1397892386.6666667,3189077885.3333335,128.1347202224789,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,84,8411,Turbo-jets: of a thrust exceeding 25kN
852990,3960030954.000001,9320226846.0,263374.0,675.0,1188760914470.0,2078907340881.0,0.0033312257374861205,0.004483233409551708,6.650806598720338e-05,7.242312994663778e-08,0.0011520076720655877,-6.643564285725674e-05,87791.33333333333,225.0,1320010318.0000002,3106742282.0,135.3574240773472,-99.74371046496617,0,0,0,0,1,0,2,oportunidad_perdida,0,1,1,0,0,5.0,95.0,1,0,85,8529,"Reception and transmission apparatus: for use with the apparatus of heading no. 8525 to 8528, excluding aerials and aerial reflectors"
151211,4097205992.0,8734916957.0,0.0,0.0,1188760914470.0,2078907340881.0,0.003446619031739202,0.004201686523122437,0.0,0.0,0.0007550674913832352,0.0,0.0,0.0,1365735330.6666667,2911638985.6666665,113.19203803897979,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,15,1512,"Vegetable oils: sunflower seed or safflower oil and their fractions, crude, not chemically modified"
850760,1019329384.9999998,8606746953.0,0.0,618.0,1188760914470.0,2078907340881.0,0.0008574721565895864,0.004140033941749722,0.0,7.180413266182848e-08,0.0032825617851601355,7.180413266182848e-08,0.0,206.0,339776461.66666657,2868915651.0,744.3538545688057,,0,0,1,0,1,1,1,estrella_naciente,0,0,0,0,0,,,0,0,85,8507,"Electric accumulators: lithium-ion, including separators, whether or not rectangular (including square)"
847150,3931843398.0,8026008355.0,146585.0,14414.0,1188760914470.0,2078907340881.0,0.0033075140258569,0.003860685946492803,3.7281495004242285e-05,1.7959114123050275e-06,0.0005531719206359029,-3.548558359193726e-05,48861.666666666664,4804.666666666667,1310614466.0,2675336118.3333335,104.12838311623926,-90.1667974212914,0,0,0,0,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,84,8471,"Units of automatic data processing machines: processing units other than those of item no. 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit: storage units, input units or output units"
280920,4726004568.0,7920967693.0,0.0,0.0,1188760914470.0,2078907340881.0,0.003975571967814111,0.0038101590856104484,0.0,0.0,-0.00016541288220366232,0.0,0.0,0.0,1575334856.0,2640322564.3333335,67.60389413571977,,0,0,0,1,0,0,4,retirada,0,0,0,0,0,,,0,0,28,2809,Phosphoric acid and polyphosphoric acids
390410,2481909562.9999995,7787918214.000001,0.0,127184.0,1188760914470.0,2078907340881.0,0.002087812219252296,0.00374615936980608,0.0,1.633093677991724e-05,0.001658347150553784,1.633093677991724e-05,0.0,42394.666666666664,827303187.6666665,2595972738.0000005,213.78734866496836,,0,0,1,0,1,1,1,estrella_naciente,0,0,0,0,0,,,0,0,39,3904,"Vinyl chloride, other halogenated olefin polymers: poly(vinyl chloride), not mixed with any other substances, in primary forms"
710813,7692645129.0,7544459604.999998,0.0,0.0,1188760914470.0,2078907340881.0,0.006471145741218878,0.003629050442336119,0.0,0.0,-0.002842095298882759,0.0,0.0,0.0,2564215043.0,2514819868.3333325,-1.926327310242959,,0,0,0,1,0,0,4,retirada,0,0,0,0,0,,,0,0,71,7108,"Metals: gold, semi-manufactured"
151190,5537690225.0,7391109537.000001,0.0,0.0,1188760914470.0,2078907340881.0,0.004658371719319976,0.0035552856982398236,0.0,0.0,-0.001103086021080152,0.0,0.0,0.0,1845896741.6666667,2463703179.0000005,33.46917643808798,,0,0,0,1,0,0,4,retirada,0,0,0,0,0,,,0,0,15,1511,"Vegetable oils: palm oil and its fractions, other than crude, whether or not refined, but not chemically modified"
847330,3302055352.0,7149429745.0,22222.0,13403.0,1188760914470.0,2078907340881.0,0.0027777287356997235,0.0034390324207380077,6.729747878557064e-06,1.8746949726128122e-06,0.0006613036850382841,-4.855052905944252e-06,7407.333333333333,4467.666666666667,1100685117.3333333,2383143248.3333335,116.51453361221549,-39.6858968589686,0,0,0,0,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,84,8473,"Machinery: parts and accessories of the machines of heading no. 8471 (other than covers, carrying cases and the like)"
740311,503044481.0,6628653622.0,36764467.0,18984319.0,1188760914470.0,2078907340881.0,0.0004231670766398629,0.003188527690315869,0.07308392873512114,0.0028639781292829182,0.0027653606136760064,-0.07021995060583822,12254822.333333334,6328106.333333333,167681493.66666666,2209551207.3333335,1217.7072549971979,-48.36231679898964,0,0,0,0,1,0,2,oportunidad_perdida,0,1,1,0,0,5.0,95.0,1,0,74,7403,"Copper: refined, unwrought, cathodes and sections of cathodes"
740200,1930413454.9999998,6228147047.0,20231430.0,579084647.0,1188760914470.0,2078907340881.0,0.0016238870503751883,0.002995875248754778,0.01048036105819621,0.09297864077871057,0.0013719881983795896,0.08249827972051436,6743810.0,193028215.66666666,643471151.6666666,2076049015.6666667,222.63280339599584,2762.302106178357,0,0,0,0,1,1,1,estrella_naciente,0,1,1,0,0,5.0,95.0,1,0,74,7402,"Copper: unrefined, copper anodes for electrolytic refining"
720421,2840843360.0,6084933143.0,14916070.0,15268322.0,1188760914470.0,2078907340881.0,0.0023897516526833053,0.0029269862217242088,0.005250578124096219,0.002509201274884081,0.0005372345690409035,-0.002741376849212138,4972023.333333333,5089440.666666667,946947786.6666666,2028311047.6666667,114.19460251409284,2.3615603842030763,0,0,0,0,1,0,2,oportunidad_perdida,1,1,0,1,0,5.0,95.0,1,0,72,7204,Ferrous waste and scrap: of stainless steel
271311,2821721258.0,5899493918.0,2419951.0,0.0,1188760914470.0,2078907340881.0,0.0023736659101532146,0.0028377858897260474,0.000857615185461384,0.0,0.0004641199795728328,-0.000857615185461384,806650.3333333334,0.0,940573752.6666666,1966497972.6666667,109.07429822396723,-100.0,0,0,0,0,1,0,2,oportunidad_perdida,0,0,0,0,0,,,0,0,27,2713,"Petroleum coke: (not calcined), obtained from bituminous minerals"
