hs6,year,direction,trade_value_usd,quantity_tons,positive_trade,zero_trade,regime_calendar,regime_full_year,d_aap_original,d_aap_expanded,d_covered_current_calendar,d_covered_current_full_year,d_added_2017,d_maintained_2017,d_removed_2017,d_copper_260300
010121,2012,CHL_IND,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010121,2012,IND_CHL,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010121,2013,CHL_IND,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010121,2013,IND_CHL,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010121,2014,CHL_IND,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010121,2014,IND_CHL,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010121,2015,CHL_IND,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010121,2015,IND_CHL,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010121,2016,CHL_IND,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010121,2016,IND_CHL,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010121,2017,CHL_IND,0.0,0.0,0,1,expanded,original,0,0,0,0,0,0,0,0
010121,2017,IND_CHL,0.0,0.0,0,1,expanded,original,0,0,0,0,0,0,0,0
010121,2018,CHL_IND,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
010121,2018,IND_CHL,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
010121,2019,CHL_IND,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
010121,2019,IND_CHL,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
010121,2020,CHL_IND,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
010121,2020,IND_CHL,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
010121,2021,CHL_IND,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
010121,2021,IND_CHL,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
010121,2022,CHL_IND,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
010121,2022,IND_CHL,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
010121,2023,CHL_IND,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
010121,2023,IND_CHL,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
010121,2024,CHL_IND,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
010121,2024,IND_CHL,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
010129,2012,CHL_IND,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010129,2012,IND_CHL,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010129,2013,CHL_IND,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010129,2013,IND_CHL,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010129,2014,CHL_IND,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010129,2014,IND_CHL,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010129,2015,CHL_IND,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010129,2015,IND_CHL,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010129,2016,CHL_IND,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010129,2016,IND_CHL,0.0,0.0,0,1,original,original,0,0,0,0,0,0,0,0
010129,2017,CHL_IND,0.0,0.0,0,1,expanded,original,0,0,0,0,0,0,0,0
010129,2017,IND_CHL,36.0,1.419,1,0,expanded,original,0,0,0,0,0,0,0,0
010129,2018,CHL_IND,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
010129,2018,IND_CHL,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
010129,2019,CHL_IND,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
010129,2019,IND_CHL,0.0,0.0,0,1,expanded,expanded,0,0,0,0,0,0,0,0
